epoch,train_loss,train_iou,val_loss,val_miou
0,1.5275,0.3396,1.2550,0.2030
1,1.2174,0.4437,1.4522,0.1702
2,1.0796,0.3871,1.1129,0.1790
3,0.9699,0.3991,0.9801,0.1948
4,0.8521,0.4897,0.8973,0.2002
5,0.8286,0.4957,1.0277,0.1916
6,0.7708,0.4984,0.9704,0.1994
7,0.7255,0.5390,0.9445,0.2051
8,0.6655,0.5738,0.8923,0.2134
9,0.6340,0.6066,0.8112,0.2148
10,0.5767,0.6364,0.7518,0.2234
11,0.5398,0.6767,0.8149,0.2166
12,0.5073,0.6402,0.7622,0.2234
13,0.4668,0.6668,0.6901,0.2284
14,0.4454,0.6781,0.7177,0.2264
15,0.4166,0.6927,0.6162,0.2310
16,0.3968,0.7107,0.6534,0.2302
17,0.3826,0.7233,0.6359,0.2324
18,0.3727,0.6977,0.6596,0.2309
19,0.3722,0.7092,0.6142,0.2325
20,0.3638,0.7388,0.6233,0.2337
21,0.3601,0.7386,0.6438,0.2297
22,0.3622,0.7315,0.6222,0.2324
23,0.3565,0.7376,0.6683,0.2285
24,0.3653,0.7361,0.6539,0.2321
25,0.3723,0.7078,0.6178,0.2341
26,0.3792,0.7223,0.6837,0.2309
27,0.4199,0.6785,0.8383,0.2216
28,0.3997,0.6570,0.6514,0.2300
29,0.4425,0.6726,0.7419,0.2235
30,0.4605,0.6634,0.8113,0.2125
31,0.4724,0.6691,0.8894,0.2172
32,0.4508,0.6633,0.7576,0.2184
33,0.4580,0.6819,0.8926,0.2190
34,0.5428,0.6050,0.7300,0.2230
epoch,train_loss,val_loss,val_miou,pixel_accuracy
0,1.5183153399761686,1.370243346843964,0.1908482967145048,0.7909848186119873
